nomor_ulasan,nama_seller,ulasan_pembeli,kelas _sentimen,,,,,,
1,Bosonline,"Dua hari udah langsung sampai, barangnya oke, pengemasannya super protected, tapi lumayan susah dibuka hehe, over all keren lah.",positif,,,,,,
2,Bosonline,Makasih lazada aku pikir barang nya gak akan sampai tapi alhamdulillah baru sampai nih packingnya rapih dan dapet tas kecil buat tempat make up pula thanks lazada aku mau belanja lagi ahk,positif,,,,,,
3,Bosonline,"Barang udah sampe, cepet dan sesuai pesanan.. kiss beauty nya pas dpt warna yg bagus, ak sukaa.. cm tas nya ak kiraa uk medium tnyta kciL maklum lah free hehe.. overall ok smua.. thx seller thx lazadaa.. keep up the good work",positif,,,,,,
4,Bosonline,"Warnanya yg dateng beda sama yang di deskripsi, magnet pembuka tutupnya tidak berfungsi, warnanya tidak pigmented tp bisa di layer, dan warnanya semuanya shimer",negatif,,,,,,
5,Bosonline,"Tidak ad baunya, barangnya beda sama yg asli, ini pasti bukan punya nya revlon. Soalnya saya punya yg asli dan saya tau mana yg asli dan mana yg palsu",negatif,,,,,,
6,Bosonline,"Masker nya ga memuaskan dipakai perih banget, warnanya gak hitam pekat, setelah dipakai perih dan merah di wajah, saat dioleskan di wajah baunya nyengat banget kyk ada alkoholnya",negatif,,,,,,
7,Bosonline,"Barangnya asli , kodenya masuk di website . Ada jaminan barang kembali juga kalai tidak asli , makasih lazada puas belinya",positif,,,,,,
8,Bosonline,"Saya kecewa sekali Karena barang gak sesuai sama yang difoto. Yang datang Juga bukan merk Kiss Beauty tapi She Loves Morphe warna nya gak nyata Juga!!! Emang sih dapat bonus kuas, tapi contour sticknya mengecewakan banget!!",negatif,,,,,,
9,Bosonline,"Pengiriman cepat, barangnya nggak ada deffect, ukurannya medium, beneran dpt crispy packacing",positif,,,,,,
10,Bosonline,Belum tanggalnya tapi udah terkirim nya cepet banget wkwk makasih lzd packingan nya cukup bagus,positif,,,,,,
11,Bosonline,"barang di kemasannya kurang rapih, botol kemasanya pas nyampe penyok,form returnnya nga ada....nexttime lebih baik lagih ya lazada perhatikan kemasannya!!!",negatif,,,,,,
12,Bosonline,Saya beli untuk kado adik tercinta. Di foto bagus (sumber google saya rasa) pas nyampe kondisi lusuh macam barang bekas peot.. plastiknya pake plastik roti putih cm pake steples... anda bisnis yg bener. Klo ada salah satu merasa di rugikan anda tdk halal memakan uang anda...,negatif,,,,,,
13,Bosonline,"Produk sudah sampai, barang agak mengecewakan karena cream dalam spons hanya sedikit isinya dan tidak seperti diiklankan dapat meng cover black spot,,, setelah dipakai biasa saja mungkin karena isi bedaknya ga banyak lbh terlihat spon busanya saja dibanding cream bedaknya :( semoga Lazada lebih memperhatikan kualitas barangnya.",negatif,,,,,,
14,Bosonline,"Eyebrow uda kering punya. Ini mah judulnya beli pencil alisnya doang. Menurut saya jika memang tidak bisa jual dgn harga segitu lbh baik jangan kasi diskon dan jgn kasi free lg. Jual apa adanya dan menguntungkan. Klo kaya gini kan namanya kebohongan. Namanya org yah mau cari yg murah tp klo gak bisa dipakai buat apa?! Berkali2 belanja di lazada puas, baru kali dpt barang jelek. Note buat sellernya yah. Tq",negatif,,,,,,
15,Bosonline,Kalau memang gak ada freenya kenapa masih tertera gratisannya... ternyata pas barang di terima tidak ada freenya. Lebih baik di hapus aja freenya biar gak ngecewai pembeli.,negatif,,,,,,
16,Bosonline,Cpt skli brgny dtg..kmrn cekout hr nie dtg n smpi dtngn dgn baik.kurir rmh.smg mskerny brmnfaat tuk sy..prthnkn kualitasny.tuk lazada tq brgny cpt smpi.n g rbet lg ky kurir lainny..goodjob .tq,positif,,,,,,
17,Bosonline,"Malam order besok siangnya datang kurir super ramah, barang mulus no defect dpt bonus pula..setelah dipakai pigmented sekali oles. dipakai wudhu kalo hanya dibasuh tanpa digosok tidak luntur.kualitas hampir sm ky m*ybelline.syuuuuukaaaaaa",positif,,,,,,
18,Bosonline,Proses pengiriman cepat cuma 2hr..pas dicek brg.a asli..seneng dech..moga berhasil yaa..dan ada hasil.a hhooo,positif,,,,,,
19,Bosonline,Barangnya tidak sesuai gambar Banyak deffectnya Banyak cracknya Terus kotor lagi Kayaknya barang lama,negatif,,,,,,
20,Bosonline,"Suka banget sm kuas nya, banyak varian di tambah bulu nya yg lembut dan gak bau. Harga kece :-):-):-)",positif,,,,,,
21,Bosonline,"suka banget sama barangnya. bagus dan rapih packagenya, sampe ga bisa buka. excited banget karena barangnya dateng 4 hari stelah aku pesen. barangnya bagus dan sesuai ekspetasii. yhankyouu lazadaa & bosonline.",positif,,,,,,
22,Bosonline,Padahal say sudh harap brang asli yg dikirim kecewa saya minta pengembalian brang oleh lazada tidak bisa... Panteekk penipu,negatif,,,,,,
23,Bosonline,Monomola eyebrow nya kering tdk bisa digunakan masa baru dibuka sudah kering...baru kali ini saya beli di lazada mengecewakan...lain kali tolong lebih diperhatikan tentang kualitas produknya jgn lgsg kirim ajja...thanks,negatif,,,,,,
24,Bosonline,"Barang udah sampe sesuai pesanan , packing jugaa rapih banget sama thanks free masker bibir nyaa Terimakasih LAZADA dan kurir LEX jugaa toko yg jual nyaa",positif,,,,,,
25,Bosonline,Bagus banget enak kok dipake. Pengirimannya juga cepet banget sesuai sama yg diperkirakan. Pokoknya memuaskan lah ngga mengecewakan,positif,,,,,,
26,Bosonline,Packingnya bagus rapi nyampenya juga cpt..semoga cocok creamnya dgn wajahku..thx bossonline thx lazada..,positif,,,,,,
27,Bosonline,PARAH BARANG TIDAK SESUAI PERTAMA BELI SAYA SESUAI DN KALI INI SANGAT KECEWA PRODUK BEDA DENGAN YG DI PESAN KUAS KECIL DAN KUALITAS PUN ANCUR TOLONG TUTUP SAJA TOKONYA biar ga banyak yg rugi bos,negatif,,,,,,
28,Bosonline,produk yg dikirim tidak sesuai dengan gambar. dikirim malah sabun beras jam.. yg ukurannya kemasan berbeda dan wanginya juga beda..,negatif,,,,,,
29,Bosonline,"Barang palsu kali nih , masa ga ada bau obatnya sama sekali, malah yg ada rasa permen karet dan bisa dikunya gtu, ada serbuk garamnya juga,penipuan ini ya,coba tolong jelaskan adminnya,jelaskan di email pribadi saya",negatif,,,,,,
30,Bosonline,Pgriman cepat kmrn psn skrg sdh dtg packing rapih sudah saya coba. Saya suka warna.y bagus kalem dan terlihat natural... tanks lazada. Recomended bgt pokok.y ...,positif,,,,,,
31,Bosonline,"Pengiriman cepat, mesen malam Senin, hari Senin siang udah sampai, barang sesuai dengan yang ada di gambar, wanginya enak, super slow rising, dapet packaging-nya 2, yang original packaging sama packaging yg plastik, pokoknya aku sukaaa banget, thank you LAZADA",positif,,,,,,
32,Bosonline,"barangnya sudah sampai,cepat nyampenya dan bagus gak ada lecet sedikitpun sesuai gambar..oiya kacanya itu bukan buram tp ada lapisan plastiknya..kl plastik d buka kacanya terang dan jelas",positif,,,,,,
33,Bosonline,"Trusted banget! Pesan kamis, sabtu sampai. Aku pesan 4pcs produk, dan smuanya baguussss!! Apalagi the balmnyaaa. Ahhh gak nyesel deh LOVE banget",positif,,,,,,
34,Bosonline,"Aaaa keren the balm. Sukaa bgt. Sesuai dg gambar, jd seneng nambah koleksi make up. Thx lazada n bosonline",positif,,,,,,
35,Bosonline,"Barang udah sampai tapi kondisi bedak cream nya tumpah semua pada belepotan,,,mohon untuk pengiriman selanjutnya di cek dulu agar tidak ada malasah",negatif,,,,,,
36,Bosonline,"Makasih ya, kirimannya mirip kaya di gambar (no tipu). Padahal aku baru order eh besokannya langsung sampai . Maaf baru bisa ngasih info",positif,,,,,,
37,Bosonline,"Simply M Palette Eye Shadow 78 Warna + Bobble yang di kirim tidak sesuai, karna beberapa isi make up hancur, tidak sampai dengan utuh sehingga membuat isi yang lain tercampur dengan make up yang hancur.",negatif,,,,,,
38,Bosonline,Sangat disayangkan krn Lazada membiarkan penjual spt ini. Untungnya uang saya bisa kembali. Mengirim barang palsu merk Naked pdhl judul dan gambar Labiotte. Skg saya liat sudah rubah jadi bos online tp rupanya tetap menipu.,negatif,,,,,,
39,Bosonline,Barangnya bagus. Murah tapi barangnya ga murahan. Barang sampai juga cepat. Mantaabbsss.,positif,,,,,,
40,Bosonline,"pengirimannya cepet bgt order lgsg kirim besoknya nyampe...packing rapi barangnya keren ringan bgt cushionnya,, lgsg ak promosiin k mamah sm ade ak hehe",positif,,,,,,
41,Bosonline,Masker matanya tidak sesuai tidak seperti yang kemarin saya beli pokonya sangat tidak puas masa harga di sininya 27rb di pintanya 35rb lebih lazada makin lama pelayanannya kurang bagus (n),negatif,,,,,,
42,Bosonline,"merek nya beda sama yg di gambar, trus gratisan bukan nya eliyner maskara, malahan pinsil alis, gmn si, udah 2 kali gitu, pesen nya pinsil alis mlah lipstik mat di bawa in nya. harus Yg lebih lebih teliti dong lazada, saya kan udh jd pelanggan udh sering psen.",negatif,,,,,,
43,Bosonline,"Bagus banget, bulu halus lembut dan dapet dompet simpati brush nya .. terima kasih. suka sekaliii",positif,,,,,,
44,Bosonline,"barang sudh sampai, cocok dengan kualitas yg sya sukai. tidk terlalu lama pengiriman nya. trmksh lazada",positif,,,,,,
45,Bosonline,"Barang baru sampai. Langsung dipake, semoga nanti hasil akhirnya bagus. Thanks LAZADA. Love Lazada",positif,,,,,,
46,Bosonline,Wah parah ini si sama bgt kaya yg asli.. aku punya yg asli. Sama persis kaya yg ini.. kualitasnya ok bgt . Harga juga sangat ok. Packingnya rapih mulus masih disegel dan di bubble wrap. Pengiriman nya cepet.. ga nyesel beli di seller ini . Thanks bosonline dan lazara :),positif,,,,,,
47,Bosonline,Buruk banget karna masa di gambar bagus kaya gitu eh pas udh nyampe beda gk sesuai sama gambarnya .,negatif,,,,,,
